"name","orig_id","streetAddress","state","location"
"PAY-O-MATIC #326","ANY191832","115 Essex St","NY","40.71945,-73.98774"
"PAY-O-MATIC #325","ANY188379","224 Varick St","NY","40.72913,-74.00524"
"DUANE READE #14185","ANY219026","100 Delancey St","NY","40.71883,-73.98884"
"RITE AID #1711","ANY149428","408 Grand St","NY","40.71586,-73.98641"
"PAY-O-MATIC #306","ANY140078","303 E Houston St","NY","40.72132,-73.98359"
"7-ELEVEN  #35656","ANY178204","142 Delancey St","NY","40.718435,-73.98663"
"NY PAWNBROKERS","ANY070414","701 E 140th St","NY","40.71892,-73.98453"
"7-ELEVEN #35308","ANY166368","351 Bowery","NY","40.72664,-73.9917"
"DUANE READE #14247","ANY205023","4 W 4th St","NY","40.728381,-73.994549"
"PAY-O-MATIC #327","ANY188401","57 Pitt St","NY","40.71768,-73.9828"
"CLINTON TRAVEL AGENCY","ANY121488","20 Clinton St","NY","40.72076,-73.98421"
"7-ELEVEN #36799","ANY191492","135 W 3rd St","NY","40.73083,-74.00095"
"KHL CHECK CASHING","ANY045368","170 1st Ave","NY","40.72906,-73.98424"
"PEOPLE CHOICE PHARMACY","ANY134028","527 Grand St","NY","40.71444,-73.98157"
"DUANE READE #14354","ANY204824","194 E 2nd St Frnt 1","NY","40.72225,-73.98399"
"RITE AID #4205","ANY029166","81 1st Ave","NY","40.725789,-73.987064"
"FINE FARE","ANY932541","545 Grand St","NY","40.714118,-73.980474"
"CFSC - CHECKS CASHED #47","ANY217947","25 Willoughby St","NY","40.69224,-73.98783"
"WALGREENS #9731","ANY199072","20 Astor Pl","NY","40.72972,-73.992011"
"CLEARFIELD COLUMBIA ST DRUG","ANY144247","55 Columbia St","NY","40.717097,-73.980222"
"NICK'S PHARMACY","ANY932651","111 Gold St","NY","40.701592,-73.98263"
"KMART #7777","ANY018441","770 Broadway","NY","40.73112,-73.99194"
"RITE AID #1225","ANY034115","534 Hudson St","NY","40.73433,-74.0062"
"RITE AID #4864","ANY031628","101 Clinton St Spc 1","NY","40.69314,-73.99297"
"PAY-O-MATIC #303","ANY235822","94 8th Ave","NY","40.74021,-74.00219"
"DUANE READE #14298","ANY204187","16 Court St #2","NY","40.693521,-73.990537"
"7-ELEVEN #35702","ANY183198","813 Broadway","NY","40.73296,-73.99116"
"QUICK REPAIR ELECTRONICS","ANY933245","151 Avenue A","NY","40.727551,-73.982449"
"CFSC - CHECKS CASHED #90","ANY211138","99 Avenue C","NY","40.72389,-73.979"
"7-ELEVEN #36678","ANY189808","170 Avenue A","NY","40.72833,-73.98188"
"RITE AID #3771","ANY029067","99 Avenue D","NY","40.722853,-73.976915"
"WALGREENS #6159","ANY198587","145 4th Ave","NY","40.73371,-73.98986"
"DOWNTOWN NEWSSTAND","APH280459","164 Newark Ave","NJ","40.721058,-74.044701"
"DUANE READE #14468","ANY204462","52 E 14th St","NY","40.734348,-73.990568"
"RITE AID #4261","ANY149109","501 Avenue Of The Americas","NY","40.7366,-73.9976"
"DUANE READE #14306","APH292142","52 River Dr S","NJ","40.728158,-74.031798"
"WALGREENS #18305","ANY232797","120 Court St","NY","40.689855,-73.992409"
"7-ELEVEN  #35642","ANY177269","239 E 14th St","NY","40.73261,-73.98556"
"DUANE READE #14265","ANY204549","125-133 3rd Ave","NY","40.733504,-73.986786"
"THE UPS STORE #0368","APH190282","123 Town Square Pl","NJ","40.726463,-74.034209"
"PLS CHECK CASHERS CC927","ANY190314","29 Flatbush Ave","NY","40.68774,-73.98014"
"CFSC - CHECKS CASHED #18","ANY150208","361 Court St","NY","40.68182,-73.99614"
"PAY-O-MATIC #322","ANY188346","115 W 23rd St","NY","40.74317,-73.99344"
"DUANE READE #14128","ANY204132","386 Fulton St","NY","40.69135,-73.98711"
"7-ELEVEN #41120","ANY931463","241 Atlantic Ave","NY","40.689532,-73.991096"
"DUANE READE #14260","ANY206628","77 7th Ave Frnt 3","NY","40.73892,-73.99941"
"PAY-O-MATIC #102","ANY003766","151 Vanderbilt Ave","NY","40.69339,-73.96989"
"INSERRA SHOPRITE - JERSEY CITY","APH338145","400 Luis Munoz Martin Blvd","NJ","40.72271,-74.038998"
"WALGREENS #10135","ANY199324","298 1st Ave","NY","40.733244,-73.98069"
"PLS CHECK CASHERS CC943","ANY194934","18 4th Ave","NY","40.684264,-73.978703"
"CFSC - CHECKS CASHED #55","ANY217958","128 E 29th St","NY","40.74337,-73.98227"
"DUANE READE #14402","APH292131","110 Newark Ave","NJ","40.719727,-74.042311"
"CARMEN MULTI SERVICES","ANY115395","243 S 4th St","NY","40.7103,-73.95851"
"S.V.R.H.PHARMACY, INC.","ANY233381","161 Smith St","NY","40.686297,-73.990737"
"CHECKS CASHED #14","APH305475","358 Grove St Ste 2","NJ","40.721196,-74.042582"
"DUANE READE #14498","ANY204154","559 Fulton St","NY","40.68949,-73.98245"
"7-ELEVEN #34707","ANY161231","247 3rd Ave","NY","40.73721,-73.98433"
"RITE AID #4733","ANY031563","182 Smith St","NY","40.68518,-73.99152"
"SIRI CONVENIENCE SHOP","ANY165334","35 W 31st St","NY","40.74724,-73.98761"
"PLS CHECK CASHERS CC958","ANY208169","365 7th Ave","NY","40.74871,-73.99226"
"DUANE READE #14319","ANY204703","180 W 20th St Frnt 2","NY","40.74213,-73.99677"
"7-ELEVEN #34495","ANY156293","395 Flatbush Ave Ste A&b","NY","40.689024,-73.980676"
"RITE AID #10531","ANY128913","195 8th Ave","NY","40.74332,-73.99993"
"WALGREENS #13725","APH287324","101-105 Washington St.","NJ","40.737564,-74.03053"
"N B J","ANY107958","359 Broadway","NY","40.7075,-73.95523"
"DUANE READE #14411","ANY218993","184 5th Ave Frnt 1","NY","40.74131,-73.98975"
"7-ELEVEN #36008","ANY188555","194 7th Ave","NY","40.74304,-73.99642"
"7-ELEVEN #33570","ANY214108","107 E 23rd St","NY","40.740182,-73.985893"
"WALGREENS #7675","ANY198785","33 E 23rd St","NY","40.740798,-73.987116"
"BRIGHT ST PHARMACY & MINI MARK","APH338233","75 Bright Street","NJ","40.717241,-74.048409"
"7-ELEVEN #34338","APH227573","333 Journal Square","NJ","40.716268,-74.048785"
"WALGREENS #10678","ANY199665","379 Myrtle Ave","NY","40.69318,-73.97131"
"7-ELEVEN #39330","APH248583","193 14th St","NJ","40.731496,-74.041487"
"RITE AID #10584","ANY129035","320 Smith St","NY","40.681153,-73.994307"
"PLS CHECK CASHERS CC959","ANY208181","140 W 36th St","NY","40.75181,-73.98855"
"RITE AID #4196","ANY029122","188 9th Ave","NY","40.74564,-74.00195"
"ACME #1083","APH328915","125 18th St","NJ","40.734432,-74.04025"
"7-ELEVEN #35300","ANY167709","224 5th Ave","NY","40.74376,-73.98797"
"DUANE READE #14200","ANY219136","465 2nd Ave","NY","40.740163,-73.979615"
"RITE AID #4195","ANY149439","282 8th Ave","NY","40.74612,-73.99788"
"DUANE READE #14246","ANY219202","777 Avenue Of The Americas Frnt 2","NY","40.74501,-73.99127"
"B AND B RESTAURANT CORPORATION","ANY933409","165 West 26th Street","NY","40.745778,-73.993714"
"7-ELEVEN #39277","APH226505","422 Washington St","NJ","40.74216,-74.029706"
"PAY-O-MATIC #104","ANY003788","168 Greenpoint Ave","NY","40.73023,-73.95374"
"DUANE READE #14104","ANY205056","401 Park Ave S Frnt B","NY","40.74318,-73.98411"
"PAY-O-MATIC #308","ANY004778","590 8th Ave","NY","40.754999,-73.991133"
"7-ELEVEN #39392","ANY161055","395 3rd Ave","NY","40.742014,-73.980591"
"DUANE READE #14426","ANY206233","250 Bedford Ave","NY","40.715769,-73.959965"
"MURAWSKI PHARMACY","ANY686592","94 Nassau Ave","NY","40.72399,-73.95009"
"CARVER BANK - ATLANTIC TERM BR","ANY162474","4 Hanson Pl","NY","40.685156,-73.976755"
"DUANE READE #14138","ANY205397","333 7th Ave Frnt B","NY","40.74749,-73.99316"
"RED HOOK PHARMACY","ANY106045","376 Van Brunt St","NY","40.67708,-74.01318"
"STOP & SHOP #843","ANY046875","232 Central Ave","NJ","40.742738,-74.051174"
"PLS CHECK CASHERS CC953","ANY208202","37 W 43rd St","NY","40.75494,-73.98228"
"7-ELEVEN  #35621","ANY177445","368 8th Ave","NY","40.74872,-73.99598"
"RITE AID #4971","ANY029287","550 2nd Ave","NY","40.742537,-73.976988"
"7-ELEVEN #39226","ANY930802","866 6th Ave","NY","40.747497,-73.989117"
"PAY-O-MATIC #117","ANY003919","364 Graham Ave","NY","40.71513,-73.94448"
"CFSC - CHECKS CASHED #63","ANY218003","160 E 45th St","NY","40.752725,-73.973405"
"7-ELEVEN #37035","ANY206794","478 3rd Ave","NY","40.74478,-73.97881"
"ACME #1744","APH329983","614 632 Clinton Street","NJ","40.74486,-74.03343"
"SR NEWSTSTAND","APH243906","420 Central Ave","NJ","40.749018,-74.04713"
"STOP & SHOP #2586","ANY213459","625 Atlantic Ave","NY","40.68311,-73.9741"
"CFSC - CHECKS CASHED NJ#1","APH232995","80 Journal Sq","NJ","40.732276,-74.063928"
"7-ELEVEN #35057","ANY167204","171 Madison Ave Ste 103","NY","40.74725,-73.98333"
"DUANE READE #14276","ANY204561","1270 Broadway Frnt 1","NY","40.74889,-73.98806"
"PAY-O-MATIC #151","ANY155478","126 Graham Ave","NY","40.70568,-73.94294"
"DUANE READE #14130","ANY218607","4 Park Ave Frnt 1","NY","40.74677,-73.98166"
"CFSC - CHECKS CASHED #50","ANY156051","112 Tompkins Ave","NY","40.6954,-73.9463"
"DUANE READE #14155","ANY206518","2 Penn Plz","NY","40.750166,-73.992321"
"NATIONAL NEWS 4","APH280503","528 Adams St","NJ","40.744342,-74.035754"
"WALGREENS #6160","ANY198598","350 5th Ave","NY","40.748422,-73.985478"
"SHREE SAI BABA KRUPA LLC","APH305068","2984 John F Kennedy Blvd","NJ","40.734917,-74.06312"
"DUANE READE #14169","ANY204648","155 E 34th St","NY","40.74612,-73.97905"
"CFSC - CHECKS CASHED NJ#2","APH233006","755 Bergen Ave","NJ","40.725361,-74.068436"
"PAY-O-MATIC #106","ANY110312","593 Myrtle Ave","NY","40.69407,-73.96042"
"PAY-O-MATIC #145","ANY214593","582 5th Ave","NY","40.6646,-73.99012"
"OTTOMANELIS LIQUOR & DELI","APH280547","422 Monroe St","NJ","40.743795,-74.03894"
"PAY-O-MATIC #118","ANY003931","653 Classon Ave","NY","40.67803,-73.95892"
"PAY-O-MATIC #138","ANY138275","359 Nostrand Ave","NY","40.68581,-73.95066"
"DUANE READE #14345","ANY205078","460 8th Ave","NY","40.75184,-73.99372"
"SELIGMAN PHARMACY INC","APH334338","900 Willow Ave","NJ","40.748006,-74.031487"
"7-ELEVEN #35895","ANY185354","243 W 34th St","NY","40.75166,-73.99223"
"HEALTHAID DRUGS INC","APH332501","212 Palisade Ave","NJ","40.736057,-74.049375"
"TOWN SMOKE & NEWS","APH107475","1034 Washington St","NJ","40.749728,-74.027417"
"NATIONAL NEWS II","APH280514","2801 John F Kennedy Blvd","NJ","40.73154,-74.067959"
"TRANSFIGURATION PARISH FCU","ANY146821","429 Broadway","NY","40.70677,-73.95315"
"DUANE READE #14430","ANY205331","1350 Broadway Frnt 3","NY","40.75109,-73.9877"
"CFSC - CHECKS CASHED #1","ANY104427","785 Broadway","NY","40.70003,-73.94065"
"ASAP LAUNDRY SERVICES LLC","APH334459","3404 Kennedy Blvd","NJ","40.745908,-74.057443"
"PAY-O-MATIC #324","ANY188368","423 9th Ave","NY","40.75319,-73.99647"
"PAY-O-MATIC #121","ANY003964","832 Washington Ave","NY","40.67317,-73.96287"
"PAY-O-MATIC #112","ANY003865","451 Broadway","NY","40.706554,-73.952197"
"CFSC - CHECKS CASHED #52","ANY156028","523 Flushing Ave","NY","40.69933,-73.95407"
"PLS CHECK CASHERS CC904","ANY010618","729 4th Ave","NY","40.661032,-73.997165"
"BATISH DRUGS","ANY165686","378 Lafayette Ave","NY","40.68885,-73.96021"
"WALGREENS #19822","APH311382","1320 Shipyard Lane #3-#4","NJ","40.752424,-74.024925"
"7-ELEVEN #39308","ANY153025","535 8th Ave","NY","40.75387,-73.99224"
"WALGREENS #4363","ANY198367","210 Union Ave","NY","40.70701,-73.95046"
"PAY-O-MATIC #310","ANY004800","763 9th Ave","NY","40.76424,-73.98839"
"DUANE READE #14312","ANY204121","296 Flatbush Ave","NY","40.67817,-73.97318"
"FIX MOBILE CORP","ANY222226","817 Manhattan Ave","NY","40.728282,-73.953535"
"PACIFIC VARIETY","ANY832496","315 Pacific Ave","NJ","40.711934,-74.062432"
"RITE AID #4782","ANY031585","783 Manhattan Ave","NY","40.72753,-73.95293"
"DUANE READE #14419","ANY204802","893 Manhattan Ave","NY","40.73002,-73.95417"
"DUANE READE #14318","ANY218629","300 E 39th St Frnt 1","NY","40.74774,-73.97314"
"PAY-O-MATIC #137","ANY138264","158-160 Marcus Garvey Blvd","NY","40.692898,-73.94022"
"PAY-O-MATIC #115","ANY003898","553 Grand St","NY","40.71112,-73.94936"
"EURO CHEMIST","ANY136262","669 Manhattan Ave","NY","40.72476,-73.95135"
"PAY-O-MATIC #125","ANY004008","1294 Fulton St","NY","40.68035,-73.94887"
"PLS CHECK CASHERS CC955","ANY235349","140 W 55th St","NY","40.76372,-73.97978"
"DUANE READE #14111","ANY204604","1430 Broadway Frnt 1","NY","40.75411,-73.98693"
"IDEAL FOOD BASKET","ANY105561","830 Lafayette Ave","NY","40.69122,-73.93953"
"7-ELEVEN #39875","ANY223887","589 8th Ave","NY","40.75531,-73.991428"
"DUANE READE #14433","ANY205100","455 W 37th St Frnt B","NY","40.7563,-73.99732"
"WALGREENS #19963","APH312327","1300 Willow Ave","NJ","40.7529,-74.030281"
"DUANE READE #16289","ANY212425","122 E 42nd St","NY","40.751325,-73.97643"
"DUANE READE #14410","ANY204176","756 Myrtle Ave Ste 1","NY","40.69505,-73.95201"
"7- ELEVEN #38463","APH338277","41 Central Ave","NJ","40.735859,-74.056638"
"PAY-O-MATIC #116","ANY003908","642 Nostrand Ave","NY","40.67633,-73.94989"
"DUANE READE #14217","ANY205144","625 8th Ave Ste 130","NY","40.7563,-73.99047"
"SUMMIT NEWS & DELI","APH280558","514 Summit Ave","NJ","40.731447,-74.060181"
"PAY-O-MATIC #122","ANY003975","840 Franklin Ave","NY","40.66929,-73.95846"
"CFSC - CHECKS CASHED #34","ANY152628","1152 Myrtle Ave","NY","40.69711,-73.93404"
"MONTGOMERY FOOD SHOP INC","APH330125","644 Montgomery St","NJ","40.723845,-74.064392"
"STORE # NJ08","APH339421","376 Summit Ave","NJ","40.728325,-74.062666"
"RITE AID #4964","ANY100005","26 Grand Central Terminal Spc Mc-10","NY","40.753,-73.9771"
"PAVONIA PHARMACY","APH298005","600 Pavonia Ave","NJ","40.732877,-74.060317"
"BIMUST MOBILE","APH338958","57 Sip Ave Store #1","NJ","40.73033,-74.06204"
"WALGREENS #21355","ANY200303","1471 Broadway","NY","40.756417,-73.986462"
"DUANE READE #14223","ANY205166","661 8th Ave","NY","40.75745,-73.98963"
"M & A VARIETY STORE INC","ANY933092","248 E 44th St","NY","40.751305,-73.971655"
"WALGREENS #17772","ANY231707","462 Fifth Ave","NY","40.668572,-73.986973"
"NATIONAL NEWS","APH280493","627 Summit Ave Ste G","NJ","40.735962,-74.059177"
"7-ELEVEN #33633","ANY121312","345 W 42nd St","NY","40.75802,-73.99169"
"7-ELEVEN #39992","ANY936963","673 8th Avenue","NY","40.757762,-73.989631"
"DUANE READE #14503","ANY205199","711 3rd Ave","NY","40.75239,-73.97327"
"MONTGOMERY FOOD MART","APH064222","673 Montgomery St","NJ","40.724206,-74.065765"
"WALGREENS #19517","APH312394","337 Central Ave","NJ","40.746577,-74.049134"
"AIE BUSINESS SERVICE INC","ANY177302","228 E 45th St","NY","40.75209,-73.97164"
"CHECK CASHING PLUS 3","APH227528","2522 Bergenline Ave","NJ","40.768724,-74.031733"
"DUANE READE #14303","APH292119","1 Path Plz","NJ","40.732108,-74.063124"
"PAY-O-MATIC #123","ANY003986","1075 Broadway","NY","40.69459,-73.931"
"DUANE READE #14229","ANY205243","852 2nd Ave","NY","40.75228,-73.97043"
"METROPOLITAN CITYMARKET","ANY222073","1142 Bedford Ave","NY","40.68536,-73.9543"
"PAY-O-MATIC #114","ANY003887","531 Eastern Pkwy","NY","40.67004,-73.95069"
"LUCKYS WINE AND SPIRITS","ANY932419","641 Marcy Ave","NY","40.692597,-73.948653"
"NATIONAL NEWS III","APH280536","475 W Side Ave","NJ","40.717464,-74.084777"
"DUANE READE #14403","ANY206617","619 9th Ave Frnt 1","NY","40.75957,-73.99181"
"7-ELEVEN #34051","ANY141189","520 5th Ave","NY","40.66662,-73.98843"
"RITE AID #4935","ANY028011","249 7th Ave","NY","40.66902,-73.97979"
"FRIENDLY CHECK CASHING","APH293912","2713 Bergenline Ave","NJ","40.769758,-74.031101"
"DUANE READE #14112","ANY205111","485 Lexington Ave Frnt D","NY","40.75431,-73.97396"
"7-ELEVEN #35516","ANY186212","555 W 42nd St","NY","40.76047,-73.99747"
"A2Z WIRELESS CENTER","APH181482","737 Montgomery St Ste A","NJ","40.725073,-74.067973"
"FULTON CHECK CASHING","APH251211","161 Martin Luther King Jr Dr","NJ","40.705495,-74.085662"
"RITE AID #1661","APH050911","2859-61 Kennedy Blvd","NJ","40.731924,-74.065071"
"PLS CHECK CASHERS CC933","ANY190369","884 5th Ave","NY","40.65146,-74.00368"
"JC PET-TOPIA LLC","APH340607","729 A Bergen Ave","NJ","40.724755,-74.069116"
"CITY FRESH MARKET","ANY146492","229 Knickerbocker Ave","NY","40.70295,-73.92563"
"PAY-O-MATIC #128","ANY004042","1588 Fulton St","NY","40.67971,-73.93727"
"ANDY'S DELI","ANY223546","270 W 47th St","NY","40.760111,-73.986776"
"PAY-O-MATIC #432","ANY188412","4915 Vernon Blvd","NY","40.742955,-73.95383"
"DUANE READE #14388","ANY205221","771 8th Ave","NY","40.76053,-73.98734"
"7-ELEVEN #39373","APH240596","3080 Jfk Blvd","NJ","40.738716,-74.062069"
"SERVICIO EXPRESS 2","APH290557","3227 Bergenline Ave","NJ","40.772923,-74.028832"
"DUANE READE #14390","ANY218894","4702 5th St","NY","40.745553,-73.955861"
"WALGREENS #1918","ANY198026","755 Broadway","NY","40.70057,-73.94165"
"DUANE READE #14282","ANY204538","1251 Avenue Of The Americas Ste C1-11","NY","40.75944,-73.98075"
"ESCO DRUG CO. INC","ANY929945","687 9th Ave","NY","40.761925,-73.990401"
"FULTON 1ST PHARMACY","ANY201591","1185 Fulton St","NY","40.68084,-73.95425"
"CLD SALES & SERVICES","ANY234755","1233 Bedford Ave","NY","40.681005,-73.953443"
"NATIONAL FOOD STORE","APH333887","75 Bleeker St","NJ","40.751165,-74.050298"
"PAY-O-MATIC #405","ANY004163","4035b 21st St","NY","40.754292,-73.941832"
"DUANE READE #14524","ANY204682","1627 Broadway","NY","40.76131,-73.98414"
"PLS CHECK CASHERS CC931","ANY928483","993 Nostrand Ave","NY","40.66408,-73.95097"
"PAY-O-MATIC #107","ANY003821","254 Kingston Ave","NY","40.67081,-73.94204"
"DUANE READE #14115","ANY205429","51 W 51st St Frnt 1","NY","40.76005,-73.97885"
"DUANE READE #14488","ANY204473","575 Lexington Ave Frnt 2","NY","40.75738,-73.97172"
"CELL2GO","APH339564","462 W Side Ave","NJ","40.717339,-74.07388"
"DUANE READE #14239","ANY205209","721 9th Ave Frnt 1","NY","40.76298,-73.98931"
"DUANE READE #14368","ANY218805","931 1st Ave","NY","40.75464,-73.96559"
"RITE AID #3110","ANY149374","301 W 50th St","NY","40.762583,-73.986334"
"DUANE READE #14127","ANY205122","49 E 52nd St Frnt 1","NY","40.7589,-73.97419"
"TELE PLUS","APH276083","3912 Bergenline Ave","NJ","40.776106,-74.026078"
"WALGREENS #17847","APH311986","1212 Summit Ave","NJ","40.756294,-74.044048"
"OMAR GROCERY INC","ANY934004","692 5th Ave","NY","40.661378,-73.993699"
"CARLTON DELI & GROCERY","APH076421","231 Liberty Ave","NJ","40.744636,-74.060833"
"DUANE READE #14153","ANY205254","866 3rd Ave","NY","40.75736,-73.96965"
"DUANE READE #14404","ANY218948","1657 Broadway Frnt 2","NY","40.7625,-73.98335"
"GARDEN STATE NEWS","APH310457","4024 Bergenline Ave","NJ","40.776841,-74.025467"
"P & S CHECK CASHING","APH335559","523 Bergen Ave","NJ","40.71878,-74.075216"
"VITALIS PHARMACY","APH340564","3495 John F Kennedy Boulevard","NJ","40.7515,-74.05406"
"VITALIS PHARMACY","APH339542","3495 John F Kennedy Boulevard","NJ","40.7515,-74.05406"
"H & H DISCOUNT LIQUORS","APH175519","3505 John F Kennedy Blvd","NJ","40.751741,-74.053772"
"WALGREENS #15352","ANY202701","1281 Fulton St","NY","40.68043,-73.95023"
"B & H CHECK CASHING","ANY705095","135 Wyckoff Ave","NY","40.70398,-73.9187"
"CFSC - CHECKS CASHED #42","ANY161396","735 Flatbush Ave","NY","40.655212,-73.960701"
"7-ELEVEN #36477","ANY192251","881 8th Ave","NY","40.76397,-73.98485"
"DUANE READE #14297","ANY205276","900 8th Ave Frnt 2","NY","40.76437,-73.98457"
"PAY-O-MATIC #132","ANY004086","5215 4th Ave","NY","40.64495,-74.01407"
"PLS CHECK CASHERS CC925","ANY235361","1445 Myrtle Ave","NY","40.69885,-73.9179"
"RITE AID #4812","APH050944","981 W Side Ave","NJ","40.733027,-74.072869"
"7-ELEVEN #37528","APH303297","2380 John F Kennedy Blvd","NJ","40.718842,-74.078047"
"PAY-O-MATIC #404","ANY004152","3928 Queens Blvd","NY","40.743573,-73.924872"
"WELCOME PHARMACY","APH293671","770 W Side Ave","NJ","40.726685,-74.07627"
"DUANE READE #14321","ANY218652","1370 Avenue Of The Americas","NY","40.76353,-73.97775"
"IDEAL FOOD BASKET","ANY145907","2036 Bedford Ave","NY","40.65476,-73.95626"
"WALGREENS #3197","APH283605","2395 John F Kennedy Blvd","NJ","40.71999,-74.078525"
"DUANE READE #14465","ANY209236","949 3rd Ave","NY","40.759892,-73.967341"
"WORLD CURRENCY EXCHANGE","ANY241256","696 Lexington Ave","NY","40.760783,-73.969222"
"JANET CHECKS CORP","APH333216","1205 Summit Ave","NJ","40.761254,-74.0419"
"MUH CHECK CASHING","ANY101611","1120 Metropolitan Ave","NY","40.714202,-73.93259"
"7-ELEVEN #39467","APH242125","565 Tonnele Ave","NJ","40.750479,-74.060323"
"COSTAMAR TRAVEL","APH172626","510 39th St","NJ","40.764191,-74.034901"
"DUANE READE #14134","ANY204505","100 W 57th St Frnt 1","NY","40.76446,-73.97749"
"PRESCRIPTION CENTER PHARMACY I","APH334932","1914 Bergenline Ave","NJ","40.764746,-74.034355"
"CHECK CASHING PLUS 2","APH227517","4820 Bergenline Ave","NJ","40.782181,-74.021314"
"DUANE READE #14392","ANY218915","1052-1055 1st Ave","NY","40.758526,-73.962499"
"PAY-O-MATIC #433","ANY188423","4466 21st St","NY","40.747886,-73.947648"
"PAY-O-MATIC #136","ANY138253","1878 Fulton St","NY","40.67901,-73.92425"
"CARVER BANK - BEDFORD STUY BR","ANY162452","1392 Fulton St","NY","40.68014,-73.9451"
"CFSC - CHECKS CASHED #30","ANY150231","4822 8th Ave","NY","40.64181,-74.00298"
"DUANE READE #14117","ANY205418","41 E 58th St","NY","40.763088,-73.971146"
"PAY-O-MATIC #111","ANY217837","1908 Church Ave","NY","40.64989,-73.96186"
"PAY-O-MATIC #126","ANY004019","1441 Saint Johns Pl","NY","40.67055,-73.93027"
"FOOD TOWN #602","ANY112556","1420 Fulton St","NY","40.68009,-73.94418"
"PAY-O-MATIC #133","ANY004097","5805 4th Ave","NY","40.64181,-74.01733"
"RCD CHECK CASHING","APH035819","222-224 Duncan Ave","NJ","40.727955,-74.078848"
"DUANE READE #14272","ANY219268","4 Columbus Cir Frnt C","NY","40.767427,-73.982661"
"HUDSON PHARMACY","APH339586","2260 Kennedy Blvd","NJ","40.71568,-74.08168"
"B & B EXPRESS SERVICE","ANY115108","922 4th Ave","NY","40.65534,-74.00344"
"CFSC - CHECKS CASHED #26","ANY217925","5241 Van Dam St","NY","40.735899,-73.936453"
"DAVIDS CHECK CASHING DCC #02","ANY235284","1534 Myrtle Ave","NY","40.69945,-73.91216"
"HINES PHARMACY","APH334691","2301 Bergenline Ave","NJ","40.76707,-74.032853"
"WEST SIDE BP","APH246976","816 Communipaw Ave","NJ","40.721193,-74.081767"
"MC DELI GROCERY","ANY190501","3546 31st St","NY","40.757091,-73.929695"
"CFSC - CHECKS CASHED #13","ANY148559","4418 Fort Hamilton Pkwy","NY","40.64041,-73.99463"
"PAY-O-MATIC #415","ANY004284","4614 Queens Blvd","NY","40.742777,-73.9182"
"24/7 CONVENIENCE STORE","APH317696","181 Broadway","NJ","40.737264,-74.076022"
"PAY-O-MATIC #139","ANY139935","2201 Bedford Ave","NY","40.65018,-73.95581"
"K&R FOOD CORP","APH317685","1723 Summit Ave","NJ","40.765681,-74.039359"
"CFSC - CHECKS CASHED #15","ANY146261","3419 14th Ave","NY","40.64167,-73.98157"
"DOLLAR GENERAL #19213","ANY240552","1192 Myrtle Ave","NY","40.697277,-73.931168"
